"id";"nombre";"logo";"url";"created_at";"updated_at"
"1";"Agricola Circasia S.A.S";"1686843678LOGO CIRCASIA VUELVEN 2020 (1).jpeg";"https://www.circasia.com/";NULL;"2023-06-15 10:41:18"
"2";"Agromonte S.A.";"1686955075Logo agromonte 2023.png";"https://www.agromonte-sa.com/";NULL;"2023-06-16 17:37:55"
"3";"Rosas Agua Clara";"1687275662logo matina y agua clara 2023.png";"http://matinaflowers.com";NULL;"2024-08-28 15:09:27"
"4";"Andalucia";"logo-andalucia.jpg";"http://andalucia-sa.com";NULL;"2024-08-28 15:08:12"
"5";"Aposentos Flowers";"logo-aposentos.jpg";"https://aposentos.com.co/";NULL;NULL
"6";"Ayura";"logo-ayura.png";"http://eclipseflowers.com.co";NULL;"2024-08-28 15:05:37"
"7";"Colibri Flowers";"logo-colibri.jpg";"http://www.colibriflowers.com/";NULL;NULL
"8";"Don Eusebio";"logo-don-eusebio.jpg";"http://www.doneusebio.com/";NULL;NULL
"9";"Flores del Gallinero";"logo-gallinero.jpg";;NULL;NULL
"11";"Inverpalmas";"logo-inverpalmas.jpg";"http://www.inverpalmas.com/";NULL;NULL
"12";"Luisiana Farms";"1686845517Logo_Luisiana_B&W_VERTICAL-1  2023.png";"http://www.luisianafarms.com/";NULL;"2023-06-15 11:11:57"
"14";"La Plazoleta";"logo-plazoleta.png";"http://www.laplazoleta.com/";NULL;NULL
"15";"Flores de Serrezuela S.A.S.";"1687276479logo serrezuela 2023.png";"http://www.serrezuelaflowers.com.co";NULL;"2024-08-28 15:06:33"
"18";"Flowers of Colombia";"Flowers-of-Colombia-Logo.png";;NULL;NULL
"19";"Aurora";"logo_aurora.png";"https://www.floresaurora.com/";"2021-08-19 10:44:02";"2021-08-19 10:44:02"
"20";"Turflor";"1692028549LOGO TURFLOR ACTUAL.png";"http://www.turflor.com";"2023-08-14 10:55:49";"2024-08-28 15:03:24"
"21";"Vegaflor";"1702325305Vegaflor (1).jpg";"http://www.vegaflor.com";"2023-12-11 15:07:51";"2024-08-28 15:03:38"
